Dataset,Model,Uses_PCA,Original_Features,CV_Best_F1,Model_N_Neighbors,Model_Distance,Accuracy,Precision,Recall,F1,ROC_AUC,Training_Time_Seconds,TN,FP,FN,TP,PCA_Variance_Target,PCA_Components,Explained_Variance
Clinical,KNN,False,8,0.3467521281746043,21.0,Euclidean,0.6061320754716981,0.20630372492836677,0.5581395348837209,0.301255230125523,0.635308514193917,7.454950400046073,442,277,57,72,,,
Clinical,SVM,False,8,0.34653102374594136,,,0.6639150943396226,0.24,0.5581395348837209,0.3356643356643357,0.662548112688812,6.526206300011836,491,228,57,72,,,
Clinical,XGBoost,False,8,0.2732704856987305,,,0.7747641509433962,0.2459016393442623,0.23255813953488372,0.23904382470119523,0.6263220881715561,0.5108697999967262,627,92,99,30,,,
Clinical,MLP,False,8,0.3306105279810353,,,0.6851415094339622,0.23046875,0.4573643410852713,0.3064935064935065,0.6051471143168267,4.182122500031255,522,197,70,59,,,
Lifestyle,KNN,False,7,0.18239617635590788,21.0,Manhattan,0.8148584905660378,0.20833333333333334,0.07751937984496124,0.11299435028248588,0.5828778126381388,0.5111513999872841,681,38,119,10,,,
Lifestyle,SVM,False,7,0.3381803571192048,,,0.6780660377358491,0.24468085106382978,0.5348837209302325,0.3357664233576642,0.6354055481881596,7.410278399998788,506,213,60,69,,,
Lifestyle,XGBoost,False,7,0.2824819718167342,,,0.722877358490566,0.24519230769230768,0.3953488372093023,0.3026706231454006,0.614327608327673,0.4001363000134006,562,157,78,51,,,
Lifestyle,MLP,False,7,0.33058044207623666,,,0.660377358490566,0.23934426229508196,0.5658914728682171,0.33640552995391704,0.6589416825694602,1.2007872000103816,487,232,56,73,,,
Merged,KNN,False,15,0.3366904136070215,7.0,Manhattan,0.6485849056603774,0.20141342756183744,0.4418604651162791,0.2766990291262136,0.5929639572619163,0.8701521000475623,493,226,72,57,,,
Merged,SVM,False,15,0.34558799072482776,,,0.6839622641509434,0.23574144486692014,0.4806201550387597,0.3163265306122449,0.6406076484350572,6.885657400009222,518,201,67,62,,,
Merged,XGBoost,False,15,0.2753628445393348,,,0.7924528301886793,0.24175824175824176,0.17054263565891473,0.2,0.6335565115200914,0.5733918999903835,650,69,107,22,,,
Merged,MLP,False,15,0.30916370865329484,,,0.7122641509433962,0.21393034825870647,0.3333333333333333,0.2606060606060606,0.6152817759377258,4.844149500015192,561,158,86,43,,,
