Dataset,Model,Uses_PCA,Original_Features,Train_Rows_Used,CV_Best_F1,Best_Threshold,Model_N_Neighbors,Model_Distance,Accuracy,Precision,Recall,F1,ROC_AUC,Training_Time_Seconds,TN,FP,FN,TP,PCA_Variance_Target,PCA_Components,Explained_Variance
Clinical,KNN,True,14,202944,0.3421920063877818,0.6715920567512512,21.0,Manhattan,0.824247082939136,0.2711789427117894,0.5130780498012136,0.3548223717531293,0.7727517976116242,70.42643562890589,39367,6590,2327,2452,0.99,14,1.0
Clinical,SVM,True,14,40000,0.3695773597404934,0.688233618663567,,,0.824010564490697,0.2839441899208663,0.5706214689265536,0.3791976639087812,0.8129357827476519,139.4213326270692,39080,6877,2052,2727,0.99,14,1.0
Clinical,XGBoost,True,14,202944,0.3682444032215682,0.7096447944641113,,,0.8536739198990855,0.33055733504164,0.5398618957940992,0.4100445009535918,0.8431180401024725,15.364159133750944,40732,5225,2199,2580,0.99,14,1.0
Clinical,MLP,True,14,202944,0.3634909135450445,0.6966714550052946,,,0.831086408073163,0.2995240613432046,0.5925925925925926,0.3979204721090347,0.8311461286060854,357.6733859088272,39334,6623,1947,2832,0.9,12,0.9345296533397226
Lifestyle,KNN,True,7,202944,0.0460279738942596,0.0,5.0,Manhattan,0.094193472090823,0.094193472090823,1.0,0.1721696838692245,0.5648070892692831,39.836171799805015,0,45957,0,4779,0.9,7,1.0
Lifestyle,SVM,True,7,40000,0.2213820333093727,0.5763208437910041,,,0.5283625039419741,0.1295364853362222,0.7005649717514124,0.2186448979591836,0.6202431908393966,132.13307191198692,23459,22498,1431,3348,0.9,7,1.0
Lifestyle,XGBoost,True,7,202944,0.2231004062307104,0.5637010335922241,,,0.7295608640807316,0.1524409203980099,0.4103368905628792,0.2222977951595533,0.6385292873393578,12.031878468114884,35054,10903,2818,1961,0.9,7,1.0
Lifestyle,MLP,True,7,202944,0.2222156298082919,0.5600763778594591,,,0.7289104383475244,0.1522126637216151,0.4109646369533375,0.222146815971044,0.6385074003805417,376.84692490985617,35018,10939,2815,1964,0.9,7,1.0
Merged,KNN,True,21,202944,0.3360948373844764,0.6795459985733032,21.0,Manhattan,0.8109232103437402,0.25944433339996,0.5432098765432098,0.351166723030098,0.7872924216944646,57.89384771091864,38547,7410,2183,2596,0.99,21,1.0000000000000002
Merged,SVM,True,21,40000,0.3699733077202976,0.5005675957222555,,,0.8055029959003469,0.265462254585676,0.6026365348399246,0.3685692347069362,0.8018715221129563,145.53131537279114,37988,7969,1899,2880,0.99,21,1.0
Merged,XGBoost,True,21,202944,0.3718949869869729,0.6928115487098694,,,0.8493968779564806,0.32324604743083,0.5476041012764177,0.4065242718446601,0.8419934797807187,15.425534582231194,40478,5479,2162,2617,0.99,21,1.0000000000000002
Merged,MLP,True,21,202944,0.3561554358008643,0.7203808374061952,,,0.8410004730368968,0.3043323018328969,0.5350491734672526,0.3879827023746302,0.8248276773074394,419.6635300223716,40112,5845,2222,2557,0.9,17,0.9056840833378466
