Dataset,Model,Accuracy_With_PCA,Precision_With_PCA,Recall_With_PCA,F1_With_PCA,ROC_AUC_With_PCA,Training_Time_Seconds_With_PCA,Accuracy_Without_PCA,Precision_Without_PCA,Recall_Without_PCA,F1_Without_PCA,ROC_AUC_Without_PCA,Training_Time_Seconds_Without_PCA,Accuracy_Diff,Precision_Diff,Recall_Diff,F1_Diff,ROC_AUC_Diff,Training_Time_Seconds_Diff
Clinical,KNN,0.6061320754716981,0.2063037249283667,0.5581395348837209,0.301255230125523,0.635308514193917,6.4191121000330895,0.6061320754716981,0.20630372492836677,0.5581395348837209,0.301255230125523,0.635308514193917,7.454950400046073,0.0,-5.551115123125783e-17,0.0,0.0,0.0,-1.0358383000129834
Clinical,SVM,0.6556603773584906,0.2445141065830721,0.6046511627906976,0.3482142857142857,0.6642084721458529,10.24785659997724,0.6639150943396226,0.24,0.5581395348837209,0.3356643356643357,0.662548112688812,6.526206300011836,-0.008254716981132004,0.004514106583072108,0.046511627906976716,0.01254995004995002,0.0016603594570409053,3.721650299965404
Clinical,XGBoost,0.7051886792452831,0.2311111111111111,0.4031007751937984,0.2937853107344633,0.6287695011374541,0.8620782000361942,0.7747641509433962,0.2459016393442623,0.23255813953488372,0.23904382470119523,0.6263220881715561,0.5108697999967262,-0.06957547169811318,-0.01479052823315119,0.17054263565891467,0.05474148603326806,0.0024474129658980104,0.35120840003946796
Clinical,MLP,0.7063679245283019,0.2115384615384615,0.3410852713178294,0.2611275964391691,0.5968884432512858,5.628430200042203,0.6851415094339622,0.23046875,0.4573643410852713,0.3064935064935065,0.6051471143168267,4.182122500031255,0.021226415094339646,-0.01893028846153849,-0.1162790697674419,-0.04536591005433738,-0.008258671065540901,1.4463077000109479
Lifestyle,KNN,0.5872641509433962,0.1400651465798045,0.3333333333333333,0.1972477064220183,0.5295630235792606,6.263573899981566,0.8148584905660378,0.20833333333333334,0.07751937984496124,0.11299435028248588,0.5828778126381388,0.5111513999872841,-0.22759433962264153,-0.06826818675352883,0.2558139534883721,0.08425335613953243,-0.05331478905887821,5.752422499994282
Lifestyle,SVM,0.6780660377358491,0.2482517482517482,0.5503875968992248,0.3421686746987952,0.638542980668672,11.604817699990235,0.6780660377358491,0.24468085106382978,0.5348837209302325,0.3357664233576642,0.6354055481881596,7.410278399998788,0.0,0.0035708971879184204,0.015503875968992276,0.006402251341130982,0.0031374324805123477,4.1945392999914475
Lifestyle,XGBoost,0.7051886792452831,0.2403433476394849,0.4341085271317829,0.3093922651933701,0.614823559853802,0.5175208000000566,0.722877358490566,0.24519230769230768,0.3953488372093023,0.3026706231454006,0.614327608327673,0.4001363000134006,-0.017688679245282946,-0.004848960052822787,0.03875968992248058,0.006721642047969489,0.0004959515261290237,0.11738449998665601
Lifestyle,MLP,0.6627358490566038,0.2426229508196721,0.5736434108527132,0.3410138248847926,0.6577611023061745,1.6096123000024818,0.660377358490566,0.23934426229508196,0.5658914728682171,0.33640552995391704,0.6589416825694602,1.2007872000103816,0.002358490566037763,0.003278688524590151,0.007751937984496138,0.004608294930875556,-0.0011805802632857132,0.40882509999210015
Merged,KNN,0.6143867924528302,0.2171428571428571,0.5891472868217055,0.3173277661795407,0.6344675529104807,8.93193770002108,0.6485849056603774,0.20141342756183744,0.4418604651162791,0.2766990291262136,0.5929639572619163,0.8701521000475623,-0.034198113207547176,0.015729429581019666,0.1472868217054264,0.040628737053327146,0.04150359564856443,8.061785599973518
Merged,SVM,0.6839622641509434,0.2357414448669201,0.4806201550387597,0.3163265306122449,0.6406184299899731,11.071093399950769,0.6839622641509434,0.23574144486692014,0.4806201550387597,0.3163265306122449,0.6406076484350572,6.885657400009222,0.0,-2.7755575615628914e-17,0.0,0.0,1.0781554915850755e-05,4.1854359999415465
Merged,XGBoost,0.7382075471698113,0.2753623188405797,0.4418604651162791,0.3392857142857143,0.6520576597556899,1.2783056999905966,0.7924528301886793,0.24175824175824176,0.17054263565891473,0.2,0.6335565115200914,0.5733918999903835,-0.054245283018867996,0.03360407708233795,0.2713178294573644,0.1392857142857143,0.018501148235598452,0.7049138000002131
Merged,MLP,0.6945754716981132,0.2123893805309734,0.3720930232558139,0.2704225352112676,0.619648305678645,5.693466100026853,0.7122641509433962,0.21393034825870647,0.3333333333333333,0.2606060606060606,0.6152817759377258,4.844149500015192,-0.017688679245283057,-0.0015409677277330724,0.03875968992248058,0.00981647460520696,0.004366529740919223,0.8493166000116616
