Variable,Count,Mean,Standard Deviation,Median,Minimum,Maximum,Missing
male,4240,0.42924528301886794,0.4950268328135282,0.0,0.0,1.0,0
age,4240,49.58018867924528,8.57294217547334,49.0,32.0,70.0,0
education,4135,1.9794437726723095,1.0197911793650105,2.0,1.0,4.0,105
currentSmoker,4240,0.49410377358490565,0.5000242019006145,0.0,0.0,1.0,0
cigsPerDay,4211,9.005936832106388,11.922461800609081,0.0,0.0,70.0,29
BPMeds,4187,0.029615476474802963,0.16954428739626196,0.0,0.0,1.0,53
prevalentStroke,4240,0.00589622641509434,0.0765692084019818,0.0,0.0,1.0,0
prevalentHyp,4240,0.3106132075471698,0.4627992628992856,0.0,0.0,1.0,0
diabetes,4240,0.025707547169811322,0.15828006133169917,0.0,0.0,1.0,0
totChol,4190,236.69952267303103,44.591283868607,234.0,107.0,696.0,50
sysBP,4240,132.35459905660377,22.033299608849184,128.0,83.5,295.0,0
diaBP,4240,82.89775943396226,11.91039448330595,82.0,48.0,142.5,0
BMI,4221,25.80080075811419,4.079840168944383,25.4,15.54,56.8,19
heartRate,4239,75.87898089171975,12.025347984469386,75.0,44.0,143.0,1
glucose,3852,81.96365524402907,23.954334811344744,78.0,40.0,394.0,388
TenYearCHD,4240,0.15188679245283018,0.35895345563483705,0.0,0.0,1.0,0
